Year,Month,Facility,Total,Sentence,Detainees,Combatants,Legal Proceedings,Admin
2018,May            ,IPS   ,5732,3352,266,0,1674,440
2018,May            ,IDF   ,176,0,176,0,0,0
2018,April          ,IPS   ,5772,3376,295,0,1677,424
2018,April          ,IDF   ,120,0,120,0,0,0
2018,March          ,IPS   ,5867,3478,291,0,1667,431
2018,March          ,IDF   ,171,0,171,0,0,0
2018,Feb.           ,IPS   ,5890,3499,273,0,1691,427
2018,Feb.           ,IDF   ,191,0,191,0,0,0
2018,Jan.           ,IPS   ,5951,3492,301,0,1713,445
2018,Jan.           ,IDF   ,154,0,154,0,0,0
2018,Dec.           ,IPS   ,564,362,202,0,0,0
2018,Dec.           ,IDF   ,3,0,3,0,0,0
2018,Nov.           ,IPS   ,709,489,220,0,0,0
2018,Nov.           ,IDF   ,3,0,3,0,0,0
2018,Oct.           ,IPS   ,678,461,217,0,0,0
2018,Oct.           ,IDF   ,7,0,7,0,0,0
2018,Sept.          ,IPS   ,685,440,245,0,0,0
2018,Sept.          ,IDF   ,2,0,2,0,0,0
2018,August         ,IPS   ,743,489,254,0,0,0
2018,August         ,IDF   ,5,0,5,0,0,0
2018,July           ,IPS   ,741,535,206,0,0,0
2018,July           ,IDF   ,13,0,13,0,0,0
2018,June           ,IPS   ,682,467,215,0,0,0
2018,June           ,IDF   ,2,0,2,0,0,0
2018,May            ,IPS   ,727,515,212,0,0,0
2018,May            ,IDF   ,8,0,8,0,0,0
2018,April          ,IPS   ,773,544,229,0,0,0
2018,April          ,IDF   ,6,0,6,0,0,0
2018,March          ,IPS   ,917,655,262,0,0,0
2018,March          ,IDF   ,6,0,6,0,0,0
2018,Feb.           ,IPS   ,880,611,269,0,0,0
2018,Feb.           ,IDF   ,13,0,13,0,0,0
2018,Jan.           ,IPS   ,887,604,283,0,0,0
2018,Jan.           ,IDF   ,9,0,9,0,0,0
2017,Dec.           ,IPS   ,5976,3458,318,0,1763,437
2017,Dec.           ,IDF   ,226,0,226,0,0,0
2017,Nov.           ,IPS   ,5881,3409,272,0,1775,425
2017,Nov.           ,IDF   ,148,0,148,0,0,0
2017,Oct.           ,IPS   ,5943,3293,324,0,1879,447
2017,Oct.           ,IDF   ,124,0,124,0,0,0
2017,Sept.          ,IPS   ,5989,3362,296,0,1879,452
2017,Sept.          ,IDF   ,156,0,156,0,0,0
2017,August         ,IPS   ,5898,3314,285,0,1864,435
2017,August         ,IDF   ,154,0,154,0,0,0
2017,July           ,IPS   ,6050,3361,424,0,1807,458
2017,July           ,IDF   ,254,0,253,0,0,1
2017,June           ,IPS   ,5915,3327,262,1,1881,444
2017,June           ,IDF   ,130,0,130,0,0,0
2017,May            ,IPS   ,6020,3389,341,2,1813,475
